Pin ID,_ - note,Attribution,Board ID,URL,Board Name,Saves,Comments,Link Title,_ - metadata - link - site_name,_ - metadata - link - description,Place Name,Street,Region,Country,Locality,Latitude,Longitude,Source URL,Postal Code,Attribution URL,Attribution Title,Attribution Author URL,Attribution Author Name
1.23638E+17,De Nachtwacht. Rembrandt van Rijn.,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Joao Lauro Fonte,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,Fun Illustrations by Joao Lauro Fonte,abduzeedo.com,"João Lauro Fonte is a Brazilian graphic artist currently based in London. His portfolio is filled with fun, playful, and colorful illustrations all with an undeniable level of wit and humor, of course...my favorite!  Swing on over to his portfolio for more and let me know what you think via twitter.",,,,,,,,,,,,,
1.23638E+17,Rembrandt van Rijn - An old woman sleeping 1635,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,"Rembrandt Harmensz van Rijn - Saskia, 1633",,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,"Twee kinderen spelend aan het Noordzeestrand, anoniem, 1907 - 1930",,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,1,0,,,,,,,,,,,,,,,,
1.23638E+17,"Masker, Mitsunaga",,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Rijksmuseum Garden Gate Amsterdam photo by Domestic Empress by design,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,"fantastic Photo from The Rijksmuseum Amsterdam, Rijksgebouwendienst",,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Het Nieuwe Rijksmuseum Foto's van Eran Oppenheimer,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Rijksmuseum,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Rijksmuseum Amsterdam,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,2,0,,,,,,,,,,,,,,,,
1.23638E+17,Greenhouse @ Rijksmuseum,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Greenhouse @ Rijksmuseum,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Rijksmuseum 13 april 2013,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,"Opening Rijksmuseum, Amsterdam! #proud",,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,20th c gallery exhibit of an early airplane,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,2,0,,,,,,,,,,,,,,,,
1.23638E+17,The other entrance with 19th c. sculptures,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Rijksmuseum Nachtwacht,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,.,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Ere galerij,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,.,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,Gebouw,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
1.23638E+17,"Fietstunnel Rijksmuseum, Amsterdam, The Netherlands",,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,Rijksmuseum,Museumstraat 1,Noord-Holland,Nederland,Amsterdam,52.36007765,4.885158329,https://foursquare.com/v/rijksmuseum/4a270706f964a520bd8c1fe3,1071 XX,,,,
1.23638E+17,Rijks Museum Library,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,1,0,,,,,,,,,,,,,,,,
1.23638E+17,Mutsjes van walvisvaarders in RIJKS,,1.23638E+17,https://www.pinterest.com/ansjejoanna/rijksmuseum-amsterdam/,Rijksmuseum Amsterdam,0,0,,,,,,,,,,,,,,,,
5.4951E+17,"De geschiedenis van het Rijksmuseum van Oudheden komt vanaf 14 november 2017 tot leven in een wervelende lichtshow op de Egyptische tempel in de centrale hal van het museum. Het vier minuten durende spektakel is voortaan dagelijks te zien om 11.30 uur, 13.30 uur (in het Engels) en 15.30 uur.",,5.4951E+17,https://www.pinterest.com/rijksmuseumvano/het-rijksmuseum-van-oudheden/,Het Rijksmuseum van Oudheden,2,0,,,,,,,,,,,,,,,,
5.4951E+17,"De geschiedenis van het Rijksmuseum van Oudheden komt vanaf 14 november 2017 tot leven in een wervelende lichtshow op de Egyptische tempel in de centrale hal van het museum. Het vier minuten durende spektakel is voortaan dagelijks te zien om 11.30 uur, 13.30 uur (in het Engels) en 15.30 uur.",,5.4951E+17,https://www.pinterest.com/rijksmuseumvano/het-rijksmuseum-van-oudheden/,Het Rijksmuseum van Oudheden,2,0,,,,,,,,,,,,,,,,
5.4951E+17,"De geschiedenis van het Rijksmuseum van Oudheden komt vanaf 14 november 2017 tot leven in een wervelende lichtshow op de Egyptische tempel in de centrale hal van het museum. Het vier minuten durende spektakel is voortaan dagelijks te zien om 11.30 uur, 13.30 uur (in het Engels) en 15.30 uur.",,5.4951E+17,https://www.pinterest.com/rijksmuseumvano/het-rijksmuseum-van-oudheden/,Het Rijksmuseum van Oudheden,1,0,,,,,,,,,,,,,http://www.youtube.com/watch?v=N9ibQrz5GtU,Lichtshow op de tempel,https://www.youtube.com/channel/UCRcj1iPxymiuCrifor5c3IQ,Rijksmuseum van Oudheden
5.4951E+17,"Afdeling Archeologie van Nederland, RMO",,5.4951E+17,https://www.pinterest.com/rijksmuseumvano/het-rijksmuseum-van-oudheden/,Het Rijksmuseum van Oudheden,0,0,,,,,,,,,,,,,,,,
